request_status,date_received,date_completed,suburb,category,service_desc,days_to_complete,calc_days
CLOSED,2016-05-05,2016-05-12,Carlton,Graffiti,Graffiti Removal,7,7
CLOSED,2014-12-05,2014-12-18,Melbourne,Parks and Trees,Tree Maintenance Services,13,13
CLOSED,2014-12-16,2014-12-18,Southbank,"Waste, Street Cleaning and Litter",Public Litter Bin,2,2
CLOSED,2015-01-05,2015-01-07,Docklands,"Waste, Street Cleaning and Litter",Damaged Bins,2,2
CLOSED,2015-06-22,2015-06-25,Melbourne,Parks and Trees,Tree Maintenance Services,3,3
CLOSED,2015-04-28,2015-05-04,East Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,6,6
CLOSED,2015-08-23,2015-09-02,Melbourne,Graffiti,Graffiti Removal,10,10
CLOSED,2015-05-04,2015-05-05,North Melbourne,"Waste, Street Cleaning and Litter",Waste collection services,1,1
CLOSED,2015-05-07,2015-05-18,North Melbourne,Graffiti,Graffiti Removal,11,11
CLOSED,2015-05-08,2015-05-14,South Yarra,"Waste, Street Cleaning and Litter",Public Litter Bin,6,6
CLOSED,2015-02-02,2015-02-04,Docklands,"Waste, Street Cleaning and Litter",Missed Bin Collection,2,2
CLOSED,2015-05-08,2015-05-15,West Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,7,7
CLOSED,2015-03-16,2015-03-28,Docklands,Roads and Traffic,Road and Footpath Maintenance,12,12
CLOSED,2015-05-15,2015-05-22,Kensington,"Waste, Street Cleaning and Litter",Missing Bin,7,7
CLOSED,2015-03-19,2015-04-08,Kensington,Graffiti,Graffiti Removal,20,20
CLOSED,2015-02-12,2015-02-13,Carlton,"Waste, Street Cleaning and Litter",Missed Bin Collection,1,1
CLOSED,2015-05-26,2015-05-28,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2,2
CLOSED,2015-04-02,2015-04-15,Melbourne,"Waste, Street Cleaning and Litter",Street Cleaning services,13,13
CLOSED,2015-02-17,2015-02-23,Melbourne,Parks and Trees,Tree Maintenance Services,6,6
CLOSED,2015-02-24,2015-04-14,Melbourne,Parks and Trees,Park Cleaning,49,49
CLOSED,2015-04-14,2015-04-17,Carlton,"Waste, Street Cleaning and Litter",Damaged Bins,3,3
CLOSED,2015-04-16,2015-05-05,North Melbourne,Parks and Trees,Tree Maintenance Services,19,19
CLOSED,2015-10-08,2015-10-09,Parkville,"Waste, Street Cleaning and Litter",Missed Bin Collection,1,1
CLOSED,2015-10-09,2015-10-29,Melbourne,Parks and Trees,Condition of Assets in Parks,20,20
CLOSED,2015-11-26,2015-11-27,East Melbourne,Parks and Trees,Tree Maintenance Services,1,1
CLOSED,2015-12-10,2015-12-11,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,1,1
CLOSED,2015-10-29,2015-10-30,Melbourne,"Waste, Street Cleaning and Litter",Waste collection services,1,1
CLOSED,2015-12-15,2015-12-17,Carlton,"Waste, Street Cleaning and Litter",Damaged Bins,2,2
CLOSED,2015-12-17,2015-12-24,Carlton,Graffiti,Graffiti Removal,7,7
CLOSED,2015-09-08,2015-09-10,North Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,2,2
CLOSED,2016-02-06,2016-02-10,Parkville,Parks and Trees,Lawns and Irrigation,4,4
